id,swedish_proverb,literal_meaning,arabic_equivalent,verb,verb_translation,verb_infinitive,verb_present,verb_past,verb_supine
1,"Bättre en fågel i handen än tio i skogen","عصفور في اليد خير من عشرة في الغابة","عصفور في اليد خير من عشرة على الشجرة","Ha","يملك","Ha","Har","Hade","Haft"
2,"Den som väntar på något gott väntar aldrig för länge","من ينتظر شيئاً جيداً لا ينتظر طويلاً أبداً","كل تأخيرة فيها خيرة / الصبر مفتاح الفرج","Vänta","ينتظر","Vänta","Väntar","Väntade","Väntat"
3,"Man ska inte sälja skinnet förrän björnen är skjuten","لا تبع الفرو قبل أن يُقتل الدب","لا تقول فول حتى يصير بالمكيال","Sälja","يبيع","Sälja","Säljer","Sålde","Sålt"
4,"Det finns inget dåligt väder, bara dåliga kläder","لا يوجد طقس سيء، توجد فقط ملابس سيئة","الشاطرة تغزل برجل حمار","Finnas","يوجد","Finnas","Finns","Fanns","Funnits"
5,"Tala är silver, tiga är guld","الكلام من فضة، والسكوت من ذهب","إذا كان الكلام من فضة فالسكوت من ذهب","Tiga","يصمت","Tiga","Tiger","Teg","Tigit"
6,"Små grytor har också öron","القدور الصغيرة لها آذان أيضاً","الحيطان لها آذان","Ha","يملك","Ha","Har","Hade","Haft"
7,"När katten är borta dansar råttorna på bordet","عندما يغيب القط ترقص الفئران على الطاولة","غاب القط العب يا فار","Dansa","يرقص","Dansa","Dansar","Dansade","Dansat"
8,"Bränt barn skyr elden","الطفل المحروق يتجنب النار","اللي يتلسع من الشوربة ينفخ في الزبادي","Sky","يتجنب","Sky","Skyr","Skydde","Skytt"
9,"Som man bäddar får man ligga","كما ترتب سريرك ستستلقي عليه","الجزاء من جنس العمل / طباخ السم بيدوقه","Bädda","يرتب السرير","Bädda","Bäddar","Bäddade","Bäddat"
10,"Alla vägar bär till Rom","كل الطرق تؤدي إلى روما","كل الدروب تودي ع الطاحون","Bära","يحمل / يؤدي","Bära","Bär","Bar","Burit"
11,"En svala gör ingen sommar","سنونوة واحدة لا تصنع الصيف","زهرة واحدة لا تصنع الربيع","Göra","يفعل","Göra","Gör","Gjorde","Gjort"
12,"Äpplet faller inte långt från trädet","التفاحة لا تسقط بعيداً عن الشجرة","ابن البط عوام / من شابه أباه فما ظلم","Falla","يسقط","Falla","Faller","Föll","Fallit"
13,"Många bäckar små gör en stor å","الكثير من الجداول الصغيرة تصنع نهراً كبيراً","الحصاة تسند الخابية / قطرة قطرة بتعمل غدير","Göra","يصنع","Göra","Gör","Gjorde","Gjort"
14,"Nöden har ingen lag","الضرورة ليس لها قانون","للضرورة أحكام / الضرورات تبيح المحظورات","Ha","يملك","Ha","Har","Hade","Haft"
15,"Rom byggdes inte på en dag","روما لم تُبنَ في يوم واحد","الصبر جميل / طول بالك","Bygga","يبني","Bygga","Bygger","Byggde","Byggt"
16,"Lika barn leka bäst","الأطفال المتشابهون يلعبون بشكل أفضل","الطيور على أشكالها تقع","Leka","يلعب","Leka","Leker","Lekte","Lekt"
17,"Kärt barn har många namn","الطفل المحبوب له أسماء كثيرة","الشيء المحبوب له ألقاب كثيرة","Ha","يملك","Ha","Har","Hade","Haft"
18,"Dra alla över en kam","سحب الجميع فوق مشط واحد (التعميم)","يساوي بين الصالح والطالح","Dra","يسحب","Dra","Drar","Drog","Dragit"
19,"Kasta inte sten i glashus","لا ترمِ الحجارة في بيت من زجاج","اللي بيته من زجاج ما يرميش الناس بالطوب","Kasta","يرمي","Kasta","Kastar","Kastade","Kastat"
20,"Det var droppen som fick bägaren att rinna över","كانت تلك القطرة التي جعلت الكأس تفيض","القشة التي قصمت ظهر البعير","Rinna","يسيل","Rinna","Rinner","Rann","Runnit"
21,"Gräset är alltid grönare på andra sidan","العشب دائماً أكثر اخضراراً على الجانب الآخر","مزمار الحي لا يطرب / عينك على ما في يد غيرك","Vara","يكون","Vara","Är","Var","Varit"
22,"Man ska inte ropa hej förrän man är över bäcken","لا تصرخ 'هاي' فرحاً قبل أن تعبر الجدول","لا تقول فول حتى يصير بالمكيال","Ropa","ينادي","Ropa","Ropar","Ropade","Ropat"
23,"Skrattar bäst som skrattar sist","يضحك أفضل من يضحك أخيراً","من يضحك أخيراً يضحك كثيراً","Skratta","يضحك","Skratta","Skrattar","Skrattade","Skrattat"
24,"Bättre sent än aldrig","أن تأتي متأخراً خير من ألا تأتي أبداً","أن تصل متأخراً خير من ألا تصل","Komma","يأتي","Komma","Kommer","Kom","Kommit"
25,"Den enes död är den andres bröd","موت أحدهم هو خبز للآخر","مصائب قوم عند قوم فوائد","Vara","يكون","Vara","Är","Var","Varit"
